dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE174574	GSM5319991	MCAO	primary	Endothelial	Lyz2	0.4818231144872543	0.4818231144872543	0.0010851871947911	0.6945198046662998	0.0138491289915684	0.8246781902237798	0.0040848911515911
GSE174574	GSM5319992	MCAO	primary	Endothelial	Lyz2	0.4059278350515451	0.4059278350515451	0.0019329896907216	0.7519329896907199	0.1879175776269858	0.6237540031214669	0.0103755911059932
GSE245386	GSM7841720	Sham	primary	Endothelial	Lyz2	0.1215526046986725	0.1215526046986725	0.001532175689479	0.2109295199182836	0.0226974122981571	0.1354368575056155	0.011399369028657
GSE245386	GSM7841721	Sham	primary	Endothelial	Lyz2	0.1225806451612897	0.1225806451612897	0.0016129032258064	0.209677419354839	0.0166215099539404	0.1125676828404693	0.0060637239375256
GSE245386	GSM7841722	Sham	primary	Endothelial	Lyz2	0.1126005361930299	0.1126005361930299	0.0	0.2028596961572831	0.0002289163463186	0.0980000050381756	0.0001408835536071
GSE245386	GSM7841723	MCAO	primary	Endothelial	Lyz2	0.1518036072144289	0.1518036072144289	0.001002004008016	0.2274549098196394	0.0396422922377934	0.1118784819750999	0.0033237320127596
GSE245386	GSM7841724	MCAO	primary	Endothelial	Lyz2	0.0768514205868655	0.0768514205868655	0.0018630647414997	0.0945505356311133	0.0089816578347362	0.0658965967160074	0.0039630784613361
GSE174574	GSM5319987	Sham	primary	Endothelial	Tyrobp	0.1850605652759091	0.1850605652759091	0.0	0.2059219380888297	1.0220318368654578e-06	0.3048238392463121	4.189875358055792e-06
GSE174574	GSM5319988	Sham	primary	Endothelial	Tyrobp	0.2220588235294111	0.2220588235294111	0.0	0.2566176470588228	0.0303820529548675	0.3611089384506538	0.0925545933527276
GSE174574	GSM5319989	Sham	primary	Endothelial	Tyrobp	0.2267546490701848	0.2267546490701848	0.0	0.2723455308938201	0.0022765358021848	0.3743859584595866	0.0088139699155848
GSE174574	GSM5319990	MCAO	primary	Endothelial	Tyrobp	0.3472718001019869	0.3472718001019869	0.0086690464048954	0.4844467108618028	0.1442867914156935	0.5682363224491062	0.2909389858169187
GSE174574	GSM5319991	MCAO	primary	Endothelial	Tyrobp	0.398806294085734	0.398806294085734	0.0092240911557243	0.53445469343462	0.1736460726537657	0.6631680779075741	0.3654020694397971
GSE174574	GSM5319992	MCAO	primary	Endothelial	Tyrobp	0.3898195876288647	0.3898195876288647	0.0083762886597938	0.5882731958762869	0.17785700593772	0.5977228948575133	0.2884380652054318
GSE245386	GSM7841720	Sham	primary	Endothelial	Tyrobp	0.3646578140960176	0.3646578140960176	0.0158324821246169	0.7170582226761976	0.1139967471827224	0.468484256727023	0.0559976478446987
GSE245386	GSM7841721	Sham	primary	Endothelial	Tyrobp	0.3413978494623693	0.3413978494623693	0.0155913978494623	0.7005376344086004	0.161570472908548	0.3626600840206656	0.0355086383763778
GSE245386	GSM7841722	Sham	primary	Endothelial	Tyrobp	0.3302055406613062	0.3302055406613062	0.001787310098302	0.5241286863270801	0.0102155499787851	0.3268498877888159	0.0039249486233055
GSE245386	GSM7841723	MCAO	primary	Endothelial	Tyrobp	0.4669338677354593	0.4669338677354593	0.0060120240480961	0.8972945891783533	0.0439604297111213	0.4643063314443109	0.0132087337580923
GSE245386	GSM7841724	MCAO	primary	Endothelial	Tyrobp	0.2799254774103393	0.2799254774103393	0.007918025151374	0.4816022356776849	0.0806633314888816	0.2997560307488937	0.0190389696473348
