config	allocation_id	discovery_allocation	validation_allocation	is_observed	metric	gate	n_candidates	n_nonzero_both	n_zero_discovery	n_zero_validation	n_same_direction	same_direction_all_fraction	same_direction_nonzero_fraction	spearman_rho
primary	126	12	6	False	custom_score	0.1	305	305	0	0	187	0.6131147540983607	0.6131147540983607	0.1938988127651484
primary	127	12	7	False	custom_score	0.1	304	304	0	0	108	0.3552631578947368	0.3552631578947368	-0.5079040287171488
primary	128	12	8	False	custom_score	0.1	307	307	0	0	194	0.6319218241042345	0.6319218241042345	0.2093000204257049
primary	129	12	9	False	custom_score	0.1	317	317	0	0	98	0.3091482649842271	0.3091482649842271	-0.6473374564310624
primary	130	13	0	False	custom_score	0.1	319	319	0	0	112	0.3510971786833856	0.3510971786833856	-0.5472351591121946
primary	131	13	1	False	custom_score	0.1	321	321	0	0	117	0.3644859813084112	0.3644859813084112	-0.5352715822675854
primary	132	13	2	False	custom_score	0.1	309	309	0	0	223	0.7216828478964401	0.7216828478964401	0.5557798015504292
primary	133	13	3	False	custom_score	0.1	310	310	0	0	172	0.5548387096774193	0.5548387096774193	0.1245453780114615
primary	134	13	4	False	custom_score	0.1	321	321	0	0	85	0.2647975077881619	0.2647975077881619	-0.6590039725075413
primary	135	13	5	False	custom_score	0.1	309	309	0	0	206	0.6666666666666666	0.6666666666666666	0.5397524495044862
primary	136	13	6	False	custom_score	0.1	308	308	0	0	116	0.3766233766233766	0.3766233766233766	-0.2626586028146269
primary	137	13	7	False	custom_score	0.1	307	307	0	0	207	0.6742671009771987	0.6742671009771987	0.5268622903125134
primary	138	13	8	False	custom_score	0.1	310	310	0	0	122	0.3935483870967742	0.3935483870967742	-0.2224754557498579
primary	139	13	9	False	custom_score	0.1	320	320	0	0	222	0.69375	0.69375	0.6235782863318283
primary	140	14	0	False	custom_score	0.1	318	318	0	0	92	0.2893081761006289	0.2893081761006289	-0.6255820019636094
primary	141	14	1	False	custom_score	0.1	319	319	0	0	92	0.2884012539184953	0.2884012539184953	-0.6255307759971418
primary	142	14	2	False	custom_score	0.1	308	308	0	0	177	0.5746753246753247	0.5746753246753247	0.2974776538601574
primary	143	14	3	False	custom_score	0.1	308	308	0	0	137	0.4448051948051948	0.4448051948051948	-0.0332326891985494
primary	144	14	4	False	custom_score	0.1	320	320	0	0	107	0.334375	0.334375	-0.5375662001520158
primary	145	14	5	False	custom_score	0.1	307	307	0	0	214	0.6970684039087948	0.6970684039087948	0.5598026275543796
primary	146	14	6	False	custom_score	0.1	307	307	0	0	153	0.498371335504886	0.498371335504886	-0.0317834336128302
primary	147	14	7	False	custom_score	0.1	306	306	0	0	216	0.7058823529411765	0.7058823529411765	0.5439859914930402
primary	148	14	8	False	custom_score	0.1	308	308	0	0	165	0.5357142857142857	0.5357142857142857	0.0208272368780152
primary	149	14	9	False	custom_score	0.1	319	319	0	0	228	0.7147335423197492	0.7147335423197492	0.6388566198277008
primary	150	15	0	False	custom_score	0.1	318	318	0	0	107	0.3364779874213836	0.3364779874213836	-0.5833666385671249
primary	151	15	1	False	custom_score	0.1	319	319	0	0	99	0.3103448275862069	0.3103448275862069	-0.5732177450940708
primary	152	15	2	False	custom_score	0.1	308	308	0	0	180	0.5844155844155844	0.5844155844155844	0.354447039438085
primary	153	15	3	False	custom_score	0.1	308	308	0	0	150	0.487012987012987	0.487012987012987	0.0113271369731558
primary	154	15	4	False	custom_score	0.1	320	320	0	0	111	0.346875	0.346875	-0.5461693130858176
primary	155	15	5	False	custom_score	0.1	307	307	0	0	204	0.6644951140065146	0.6644951140065146	0.5344088106329792
primary	156	15	6	False	custom_score	0.1	307	307	0	0	149	0.4853420195439739	0.4853420195439739	-0.1036723758412642
primary	157	15	7	False	custom_score	0.1	306	306	0	0	205	0.6699346405228758	0.6699346405228758	0.5219035788535541
primary	158	15	8	False	custom_score	0.1	308	308	0	0	157	0.5097402597402597	0.5097402597402597	-0.0401395752000202
primary	159	15	9	False	custom_score	0.1	319	319	0	0	225	0.7053291536050157	0.7053291536050157	0.6116574517317996
primary	160	16	0	False	custom_score	0.1	311	311	0	0	106	0.3408360128617363	0.3408360128617363	-0.524540927876323
primary	161	16	1	False	custom_score	0.1	312	312	0	0	116	0.3717948717948718	0.3717948717948718	-0.4958768904952454
primary	162	16	2	False	custom_score	0.1	301	301	0	0	235	0.7807308970099668	0.7807308970099668	0.6807207059736213
primary	163	16	3	False	custom_score	0.1	301	301	0	0	179	0.5946843853820598	0.5946843853820598	0.224932614229085
primary	164	16	4	False	custom_score	0.1	313	313	0	0	72	0.2300319488817891	0.2300319488817891	-0.740173828718505
primary	165	16	5	False	custom_score	0.1	300	300	0	0	191	0.6366666666666667	0.6366666666666667	0.5057663986858518
primary	166	16	6	False	custom_score	0.1	300	300	0	0	100	0.3333333333333333	0.3333333333333333	-0.3727088907007613
primary	167	16	7	False	custom_score	0.1	299	299	0	0	197	0.6588628762541806	0.6588628762541806	0.5111134455149033
primary	168	16	8	False	custom_score	0.1	301	301	0	0	107	0.3554817275747508	0.3554817275747508	-0.3161772713861678
primary	169	16	9	False	custom_score	0.1	312	312	0	0	218	0.6987179487179487	0.6987179487179487	0.628905327810962
primary	170	17	0	False	custom_score	0.1	320	320	0	0	82	0.25625	0.25625	-0.6449659502838072
primary	171	17	1	False	custom_score	0.1	322	322	0	0	88	0.2732919254658385	0.2732919254658385	-0.6154214710872129
primary	172	17	2	False	custom_score	0.1	310	310	0	0	174	0.5612903225806452	0.5612903225806452	0.442038188851253
primary	173	17	3	False	custom_score	0.1	311	311	0	0	146	0.4694533762057878	0.4694533762057878	0.082038066997133
primary	174	17	4	False	custom_score	0.1	322	322	0	0	107	0.3322981366459627	0.3322981366459627	-0.6521803203266527
primary	175	17	5	False	custom_score	0.1	310	310	0	0	210	0.6774193548387096	0.6774193548387096	0.5372235159152439
primary	176	17	6	False	custom_score	0.1	309	309	0	0	159	0.5145631067961165	0.5145631067961165	-0.132990009190154
primary	177	17	7	False	custom_score	0.1	308	308	0	0	208	0.6753246753246753	0.6753246753246753	0.5352684688969375
primary	178	17	8	False	custom_score	0.1	311	311	0	0	175	0.5627009646302251	0.5627009646302251	-0.0566317443593754
primary	179	17	9	False	custom_score	0.1	321	321	0	0	229	0.7133956386292835	0.7133956386292835	0.6803908255193202
primary	180	18	0	False	custom_score	0.1	322	322	0	0	87	0.2701863354037267	0.2701863354037267	-0.5902726658423672
primary	181	18	1	False	custom_score	0.1	324	324	0	0	89	0.2746913580246913	0.2746913580246913	-0.5567352997160345
primary	182	18	2	False	custom_score	0.1	312	312	0	0	201	0.6442307692307693	0.6442307692307693	0.49805120079971
primary	183	18	3	False	custom_score	0.1	313	313	0	0	161	0.5143769968051118	0.5143769968051118	0.1027939036481176
primary	184	18	4	False	custom_score	0.1	324	324	0	0	89	0.2746913580246913	0.2746913580246913	-0.6534916873491371
primary	185	18	5	False	custom_score	0.1	312	312	0	0	212	0.6794871794871795	0.6794871794871795	0.5305145268464896
primary	186	18	6	False	custom_score	0.1	311	311	0	0	147	0.472668810289389	0.472668810289389	-0.2067167479268724
primary	187	18	7	False	custom_score	0.1	310	310	0	0	209	0.6741935483870968	0.6741935483870968	0.5248745547433555
primary	188	18	8	False	custom_score	0.1	313	313	0	0	153	0.4888178913738019	0.4888178913738019	-0.1343146671968001
primary	189	18	9	False	custom_score	0.1	323	323	0	0	248	0.7678018575851393	0.7678018575851393	0.6436251974824098
primary	190	19	0	False	custom_score	0.1	322	322	0	0	78	0.2422360248447205	0.2422360248447205	-0.684588593035627
primary	191	19	1	False	custom_score	0.1	323	323	0	0	82	0.2538699690402476	0.2538699690402476	-0.6776250226349161
primary	192	19	2	False	custom_score	0.1	312	312	0	0	204	0.6538461538461539	0.6538461538461539	0.499172533280915
primary	193	19	3	False	custom_score	0.1	312	312	0	0	146	0.4679487179487179	0.4679487179487179	0.0505565669366939
primary	194	19	4	False	custom_score	0.1	324	324	0	0	82	0.2530864197530864	0.2530864197530864	-0.7085072651349553
primary	195	19	5	False	custom_score	0.1	311	311	0	0	231	0.7427652733118971	0.7427652733118971	0.6443928662827958
primary	196	19	6	False	custom_score	0.1	311	311	0	0	141	0.4533762057877814	0.4533762057877814	-0.157290010869047
primary	197	19	7	False	custom_score	0.1	310	310	0	0	225	0.7258064516129032	0.7258064516129032	0.6103312028686553
primary	198	19	8	False	custom_score	0.1	312	312	0	0	147	0.4711538461538461	0.4711538461538461	-0.1190961380606045
primary	199	19	9	True	custom_score	0.1	323	323	0	0	258	0.7987616099071208	0.7987616099071208	0.7427882976103759
