dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Itga5	0.06549118387909321	0.06549118387909321	0.005037783375314861	0.07808564231738033	0.05084105309483869	0.07968589620076334	0.07000883971945317
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Itgb1	0.17632241813601998	0.17632241813601998	0.03274559193954659	0.22418136020151114	0.14360926322190118	0.21379892834253156	0.1732458106660961
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Col4a1	0.141057934508816	0.141057934508816	0.010075566750629723	0.15869017632241803	0.10192046458223603	0.16882887318922757	0.13591653701240503
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Itga3	0.015113350125944582	0.015113350125944582	0.0	0.015113350125944582	0.008239697099758421	0.014598425391707715	0.010865114743125303
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Slc1a2	0.19134396355353114	0.19134396355353114	0.025816249050873215	0.24525436598329578	0.16339038864518457	0.27784671685516127	0.23478097935849793
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Slc1a3	0.09946848899012892	0.09946848899012892	0.0022779043280182236	0.11161731207289274	0.048341605681459135	0.13267036170812316	0.08382085256859531
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Aldh1l1	0.010630220197418374	0.010630220197418374	0.0	0.010630220197418374	0.00685644619509863	0.012677571742239888	0.010236084960726822
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Pecam1	0.8709187547456464	0.8709187547456464	0.6112376613515565	2.4153378891420005	2.4128383133507385	1.7833145430879895	1.8329923344869712
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Cdh5	0.708428246013672	0.708428246013672	0.29840546697038706	1.203492786636305	1.202405125400254	1.182890334298876	1.2198352339687948
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Kdr	0.5353075170842788	0.5353075170842788	0.20425208807896789	0.8397873955960524	0.838010052374519	0.8720295896469467	0.8988780575188032
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Ptprc	0.03568716780561887	0.03568716780561887	0.0	0.03568716780561887	0.015942355598041056	0.047709079306545325	0.030079364060694745
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Tyrobp	0.39255884586180456	0.39255884586180456	0.006074411541381928	0.5231586940015166	0.14335684981247346	0.5889621593634538	0.27863222862878695
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	C1qa	0.6537585421412321	0.6537585421412321	0.0842824601366742	1.1769172361427567	0.40567519706894023	1.1264198309700373	0.666346207643921
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Lyz2	0.41685649202733166	0.41685649202733166	0.0	0.5763097949886102	2.782638744243981e-16	0.6351395983902604	8.316388502542436e-16
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Spp1	0.8800303720577197	0.8800303720577197	0.06681852695520128	2.491268033409272	0.4511826583812777	1.790899703338669	0.7866940212394914
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Timp3	0.609719058466211	0.609719058466211	0.366742596810932	1.952923310554306	1.9282341797224682	1.2501494909736137	1.2773732782139928
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Ptn	0.5026575550493494	0.5026575550493494	0.3029612756264234	1.3257403189066146	1.2569835010083927	1.0039099269032281	1.0073332176175052
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Plat	0.8481397114654631	0.8481397114654631	0.6598329536826143	3.854214123006833	3.838072529772113	2.0379156435942476	2.083711842848632
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Ptprz1	0.049354593773728236	0.049354593773728236	0.0007593014426727411	0.05087319665907372	0.035206778528371833	0.0670164573357103	0.05701305837101552
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Lrp1	0.06833712984054675	0.06833712984054675	0.0022779043280182236	0.07517084282460136	0.049902593157080094	0.09302611516315364	0.07795234538091989
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Itga5	0.11921032649962005	0.11921032649962005	0.013667425968109338	0.1351556567957478	0.12224432243665807	0.1507726697067645	0.1486025854923839
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Itgb1	0.520880789673496	0.520880789673496	0.21488230827638638	0.9179954441913466	0.8854419443122438	0.8427894382334169	0.8553198896689868
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Col4a1	0.6006074411541377	0.6006074411541377	0.3181473044798778	1.3902809415338002	1.3779756365150697	1.084915180576201	1.1137384398312635
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	Itga3	0.06150341685649212	0.06150341685649212	0.006074411541381928	0.067577828397874	0.06665316428926728	0.0764113703202121	0.07859546327944916
