dataset	sample	cell_type	config	gene	n_cells	fraction	mean_umi
GSE174574	GSM5319989	Endothelial	strict_identity	S1pr1	900	0.5277777777777778	0.8177777777777778
GSE174574	GSM5319990	Astrocyte	primary	Aldh1l1	784	0.3877551020408163	0.5701530612244898
GSE174574	GSM5319990	Astrocyte	primary	Slc1a2	784	0.9591836734693877	9.136479591836734
GSE174574	GSM5319990	Astrocyte	primary	Slc1a3	784	0.9464285714285714	8.136479591836734
GSE174574	GSM5319990	Astrocyte	primary	Glul	784	0.9910714285714286	14.978316326530612
GSE174574	GSM5319990	Astrocyte	primary	Sox9	784	0.6224489795918368	1.3698979591836735
GSE174574	GSM5319990	Astrocyte	primary	Pecam1	784	0.15433673469387754	0.22704081632653061
GSE174574	GSM5319990	Astrocyte	primary	Cdh5	784	0.10076530612244898	0.12627551020408162
GSE174574	GSM5319990	Astrocyte	primary	Kdr	784	0.08035714285714286	0.08801020408163265
GSE174574	GSM5319990	Astrocyte	primary	Ptprc	784	0.05102040816326531	0.058673469387755105
GSE174574	GSM5319990	Astrocyte	primary	Tyrobp	784	0.44260204081632654	0.9681122448979592
GSE174574	GSM5319990	Astrocyte	primary	Lyz2	784	0.5688775510204082	1.4642857142857142
GSE174574	GSM5319990	Astrocyte	primary	C1qa	784	0.7028061224489796	2.104591836734694
GSE174574	GSM5319990	Astrocyte	primary	P2ry12	784	0.10331632653061225	0.12627551020408162
GSE174574	GSM5319990	Astrocyte	primary	Tmem119	784	0.1836734693877551	0.25255102040816324
GSE174574	GSM5319990	Astrocyte	primary	Spp1	784	0.9464285714285714	5.088010204081633
GSE174574	GSM5319990	Astrocyte	primary	Cd14	784	0.41836734693877553	0.8176020408163265
GSE174574	GSM5319990	Astrocyte	primary	Timp1	784	0.11096938775510204	0.22576530612244897
GSE174574	GSM5319990	Astrocyte	primary	Cd63	784	0.9464285714285714	7.974489795918367
GSE174574	GSM5319990	Astrocyte	primary	Ptn	784	0.8915816326530612	6.678571428571429
GSE174574	GSM5319990	Astrocyte	primary	Ptprb	784	0.14795918367346939	0.1989795918367347
GSE174574	GSM5319990	Astrocyte	primary	S1pr1	784	0.7295918367346939	1.530612244897959
GSE174574	GSM5319990	Astrocyte	strict_identity	Aldh1l1	713	0.4053295932678822	0.603085553997195
GSE174574	GSM5319990	Astrocyte	strict_identity	Slc1a2	713	0.9803646563814866	9.619915848527349
GSE174574	GSM5319990	Astrocyte	strict_identity	Slc1a3	713	0.9733520336605891	8.657784011220196
GSE174574	GSM5319990	Astrocyte	strict_identity	Glul	713	0.9929873772791024	15.757363253856942
GSE174574	GSM5319990	Astrocyte	strict_identity	Sox9	713	0.6535764375876578	1.467040673211781
