Package	Version	LibPath	Built	Priority	RemoteSha
SparseArray	1.12.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-05-01 20:55:46 UTC; windows		dd96584c2f1284fe00041e392b5bed5749b4e42d
StanHeaders	2.39.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:23:03 UTC; windows		
SummarizedExperiment	1.42.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; ; 2026-04-29 11:30:24 UTC; windows		38d319f79612b5bc873e609cb909f9165345f2b1
WriteXLS	6.8.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 11:50:21 UTC; windows		
XVector	0.52.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-04-29 10:56:17 UTC; windows		fa5f5a6296e984f5cb90b52bff781e710d999111
abind	1.4-8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 11:46:37 UTC; windows		
askpass	1.2.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:57 UTC; windows		
assorthead	1.6.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; ; 2026-05-25 11:54:42 UTC; windows		9ee2dd8e2852145d3755b4bebc002b1328bb02e0
backports	1.5.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:10 UTC; windows		
base64enc	0.1-6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:07 UTC; windows		
beachmat	2.28.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-05-01 09:36:42 UTC; windows		a5ec637c732e3ce1e978036e67f5030253503624
beeswarm	0.4.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:52 UTC; windows		
bitops	1.1-0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:54 UTC; windows		
