"source_genesymbol","target_genesymbol","resource"
"Col2a1","Itga1_Itgb1","mouseconsensus"
"Col2a1","Itga9_Itgb1","mouseconsensus"
"Col2a1","Itga11_Itgb1","mouseconsensus"
"Col2a1","Itgav_Itgb8","mouseconsensus"
"Col2a1","Tnfrsf10b","mouseconsensus"
"Col2a1","Itga2b","mouseconsensus"
"Col2a1","Cd44","mouseconsensus"
"Col2a1","Sdc1","mouseconsensus"
"Col2a1","Ddr1","mouseconsensus"
"Col2a1","Gp6","mouseconsensus"
"Col4a1","Itga10_Itgb1","mouseconsensus"
"Col4a1","Itga2_Itgb1","mouseconsensus"
"Col4a1","Itga3_Itgb1","mouseconsensus"
"Col4a1","Itga1_Itgb1","mouseconsensus"
"Col4a1","Itga9_Itgb1","mouseconsensus"
"Col4a1","Itga11_Itgb1","mouseconsensus"
"Col4a1","Itgav_Itgb8","mouseconsensus"
"Col4a1","Cd44","mouseconsensus"
"Col4a1","Sdc1","mouseconsensus"
"Col4a1","Cd47","mouseconsensus"
"Col4a1","Gp6","mouseconsensus"
"Col4a1","Cd93","mouseconsensus"
"Fn1","Itgav_Itgb3","mouseconsensus"
"Fn1","Itga2b_Itgb3","mouseconsensus"
"Fn1","Itgav_Itgb1","mouseconsensus"
"Fn1","Itga5_Itgb1","mouseconsensus"
"Fn1","Itga4_Itgb1","mouseconsensus"
"Fn1","Itga3_Itgb1","mouseconsensus"
"Fn1","Itga8_Itgb1","mouseconsensus"
"Fn1","Itgav_Itgb6","mouseconsensus"
"Fn1","Itgav_Itgb8","mouseconsensus"
"Fn1","Itga4_Itgb7","mouseconsensus"
"Fn1","Tnfrsf11b","mouseconsensus"
"Fn1","Cd79a","mouseconsensus"
"Fn1","Cd44","mouseconsensus"
"Fn1","Tshr","mouseconsensus"
"Fn1","Itga2","mouseconsensus"
"Fn1","Sdc1","mouseconsensus"
"Fn1","C5ar1","mouseconsensus"
"Fn1","Itga6","mouseconsensus"
"Fn1","Sdc2","mouseconsensus"
"Fn1","Flt4","mouseconsensus"
"Fn1","Plaur","mouseconsensus"
"Fn1","Itga9","mouseconsensus"
"Fn1","Il17rc","mouseconsensus"
"Fn1","Robo4","mouseconsensus"
"Vtn","Itgav_Itgb3","mouseconsensus"
"Vtn","Itga2b_Itgb3","mouseconsensus"
"Vtn","Itgav_Itgb1","mouseconsensus"
"Vtn","Itga8_Itgb1","mouseconsensus"
"Vtn","Itgav_Itgb5","mouseconsensus"
"Vtn","Itgav_Itgb8","mouseconsensus"
"Vtn","Tnfrsf11b","mouseconsensus"
"Vtn","Itga5","mouseconsensus"
"Vtn","Itgb6","mouseconsensus"
"Vtn","Itga3","mouseconsensus"
"Vtn","Kdr","mouseconsensus"
"Vtn","Plaur","mouseconsensus"
"Vtn","Cd47","mouseconsensus"
"Vwf","Itgav_Itgb3","mouseconsensus"
"Vwf","Itga2b_Itgb3","mouseconsensus"
"Vwf","Gp1ba_Gp1bb","mouseconsensus"
"Vwf","Tnfrsf11b","mouseconsensus"
"Vwf","Selp","mouseconsensus"
"Vwf","Sirpa","mouseconsensus"
"Vwf","Lrp1","mouseconsensus"
"Vwf","Scara5","mouseconsensus"
