dataset	sample	condition	sample_alias	reference	original_label	reference_label	n_cells
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Unassigned	Astrocyte	37
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Unassigned	Endothelial	2857
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Unassigned	Fibroblast	1
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Unassigned	Microglia/Macrophage	748
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Unassigned	Mural	22
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Unassigned	Neuron/Other	2
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Unassigned	Oligodendrocyte	5
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Astrocyte	ABC	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Astrocyte	Astrocyte	367
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Astrocyte	Astroependymal	3
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Astrocyte	Dendritic	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Astrocyte	Endothelial	82
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Astrocyte	Macrophage	1
