dataset	config	panel	gene	tested	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GSE174574	reference_only	Endothelial_activation	Sele	True	17.388558680472702	3.671055993460117	0.6251305317628015	5.872463120795156	4.293672449809063e-09	4.4263479731973244e-08
GSE174574	reference_only	Endothelial_activation	Selp	True	75.49975209037315	4.509419900450589	0.3742178609275947	12.050252997739976	1.9335554007230533e-33	9.345027642049708e-32
GSE174574	reference_only	Endothelial_activation	Ccl2	True	896.5298830339106	2.830800716238568	0.1091074694430371	25.94506802044815	2.066928108954184e-148	9.059559721695388e-146
GSE174574	reference_only	Endothelial_activation	Cxcl10	True	200.41892711226504	3.6481078955676143	0.4585740606947539	7.955329810937447	1.786549476746175e-15	3.4148617141234035e-14
GSE174574	reference_only	Angiogenesis_associated	Apln	True	120.82471690922505	2.809485443441489	0.2100479285810035	13.375449414908324	8.414357282939117e-41	5.8445298045595146e-39
GSE174574	reference_only	Angiogenesis_associated	Esm1	True	58.13453763917276	0.0491050493630564	0.5431039550275288	0.090415562082525	0.9279569905899688	0.9570968279283588
GSE174574	reference_only	Angiogenesis_associated	Dll4	True	493.4033733101695	0.2240700707026136	0.0950465024008896	2.357478339997457	0.0183995286704377	0.0518458011372055
GSE174574	reference_only	Angiogenesis_associated	Angpt2	True	585.0534689639729	2.5143157884837897	0.1043034911450045	24.105768281412026	2.1747280115764623e-128	7.471072366256328e-126
GSE174574	reference_only	Angiogenesis_associated	Pgf	True	60.36456009074647	1.5046356573810569	0.4872477402882906	3.088030036816193	0.0020148810457749	0.0077492142126611
GSE174574	reference_only	Angiogenesis_associated	Flt1	True	19665.392114656566	-0.3178869308385413	0.0503075906444442	-6.31886613464061	2.6348939236421677e-10	3.092533394590544e-09
GSE245386	primary	BBB_junction	Cldn5	True	74664.42359363001	-0.4086527486419319	0.1078952211319941	-3.78749627976576	0.0001521729627554	0.0013308582592305
GSE245386	primary	BBB_junction	Ocln	True	4608.492613071139	-0.0569096292578518	0.1158699665997158	-0.4911508212861726	0.6233197789636085	0.8182213365940526
GSE245386	primary	BBB_junction	Tjp1	True	21029.549464918546	0.2433241821178075	0.1133524330531529	2.1466163148320656	0.0318238399778372	0.1210577283551437
GSE245386	primary	BBB_junction	Tjp2	True	3719.4108511259487	-0.1929156908227878	0.1305529683864406	-1.4776813825615345	0.139493079844277	0.3466833693237149
GSE245386	primary	BBB_transport	Mfsd2a	True	3309.887695090102	-0.2362080103197903	0.1890520695436739	-1.249433613130707	0.2115065206681684	0.4517769437965677
GSE245386	primary	BBB_transport	Slc2a1	True	53393.38327973914	1.6798224539288575	0.1187102621217772	14.15060858180598	1.8514802134933306e-45	4.029614436081555e-43
