sender	receiver	ligand	receptor	dataset	config	eligible_05	eligible_10	eligible_20	mean_control_score	mean_stroke_score	score_difference	welch_p	exact_permutation_p	ligand_mean_log2fc	receptor_mean_log2fc	ligand_min_padj	receptor_min_padj	ligand_any_changed	receptor_any_changed	candidate_changed_component	ligand_min_detection_stroke	receptor_min_detection_stroke	welch_fdr	welch_fdr_eligible_05	welch_fdr_eligible_10	welch_fdr_eligible_20	status
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	True	True	True	1.3209969300951634	0.8826584327958444	-0.4383384972993189	0.0414808734380489	0.1	-0.8307493558422486	-1.0336500791870142	0.0111681635540182	1.040335605639692e-17	True	True	True	0.6567120557317669	0.6966341007985404		0.2468799170278296	0.219666229124912	0.2047944078772619	eligible_10pct
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	True	True	True	2.4041375621348844	1.1654012202492732	-1.2387363418856112	0.098750961665777	0.1	-3.115452547372296	-0.3929521332987897	4.04357690319313e-17	0.2319332210119823	True	False	True	0.4536737280493338	0.9353613078183544		0.3489410977710845	0.3044141214986351	0.2627374070986432	eligible_10pct
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	True	True	True	1.0762372689167692	1.4595093682432787	0.3832720993265095	0.0597539369030266	0.1	0.9412909042583606	0.5992560812786667	8.139768569784163e-16	0.1266493464876054	True	False	True	0.9042454219603704	0.7153712736088619		0.2794151610194665	0.2491943088641965	0.2214082626849355	eligible_10pct
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	True	True	False	0.037580189283747	0.2503508062515071	0.21277061696776	0.341497727046943	0.1	5.996984002442335	0.1831290459763781	2.98580163941542e-05	0.1460206289978736	True	False	True	0.3075835832766369	0.2719200575605768		0.5670300294973654	0.5209912612254627		eligible_10pct
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	True	True	True	0.0944066490491051	0.312497159468965	0.2180905104198598	0.0030120249669861	0.1	1.865616557362885	0.9741625758828328	5.240582903007757e-10	4.533983443768846e-27	True	True	True	0.4078068553139703	0.2737401005992416		0.1328012954830982	0.1018884189596081	0.089068782062667	eligible_10pct
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_only	True	True	True	1.2350441233592548	0.8356108409264206	-0.3994332824328342	0.0439804653287138	0.1	-0.8104516867147643	-1.0094159700897964	0.0168329457271034	1.184093839043445e-13	True	True	True	0.6437638213180008	0.6259566183040737		0.2751388247789929	0.2503503411019096	0.2236567566106546	eligible_10pct
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_only	True	True	True	2.36579347953573	1.1729280267296789	-1.192865452806051	0.0937900854432942	0.1	-2.934217990742713	-0.3936243001439949	2.798755595899627e-74	0.2712244724780256	True	False	True	0.4393786842460514	0.9175143741707208		0.3511675292179155	0.3140336891348216	0.2625135030848883	eligible_10pct
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_only	True	True	True	1.0489740125710878	1.4345828363645237	0.3856088237934358	0.02795058851084	0.1	0.9733228898298628	0.5884261755199124	9.88200838587395e-15	0.1487992405747256	True	False	True	0.8779377543214559	0.7033392304290137		0.2488956223090395	0.213721814007672	0.1882859079743646	eligible_10pct
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_only	True	True	False	0.0353121733452913	0.2462352198753519	0.2109230465300605	0.3399943810457862	0.1	6.026199734749479	0.2049949653482737	2.7669151713657003e-05	0.1059080814599983	True	False	True	0.3030517470145952	0.2512042100847899		0.5903579021382298	0.5354621550833417		eligible_10pct
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_only	True	True	True	0.0921863146761053	0.2993668038688888	0.2071804891927834	6.857324721785469e-05	0.1	1.8167510036160543	0.9802133233205764	4.6018755795101014e-09	6.186086522428544e-26	True	True	True	0.394626271561256	0.2509523997017246		0.0386410248072611	0.0507442029412124	0.0285950440898454	eligible_10pct
