dataset	sample	cell_type	selection	n_cells	gene	fraction_detected	mean_logcp10k
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Vwf	0.12745098039215685	0.20007876691766185
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Kdr	0.21568627450980393	0.3283911375945581
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Ptprc	0.0392156862745098	0.04773778408007152
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Tyrobp	0.3627450980392157	0.6931951359871519
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Lyz2	0.28431372549019607	0.48534739074856476
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	C1qa	0.5784313725490197	1.2650368429624714
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Rgs5	0.029411764705882353	0.051179760037936284
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Pdgfrb	0.10784313725490197	0.16556272302888653
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Acta2	0.16666666666666666	0.2778005428069689
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Plp1	0.3627450980392157	0.6408173433895958
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Mbp	0.09803921568627451	0.15914668039012903
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Snap25	0.0	0.0
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Aldh1l1	0.006329113924050633	0.007854375701076305
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Slc1a3	0.0625	0.09644084922363379
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Slc1a2	0.06091772151898734	0.09126770259445213
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Gja1	0.13528481012658228	0.2236854115656268
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Glul	0.8536392405063291	2.2062429464315554
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Sox9	0.03639240506329114	0.05513064130839411
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Aldoc	0.10917721518987342	0.17140917925484325
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Pecam1	0.8037974683544303	1.6023662445205005
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Cdh5	0.682753164556962	1.2511761035755813
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Esam	0.9683544303797469	2.4551598913700423
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Tek	0.6131329113924051	1.0727397198448787
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Erg	0.4430379746835443	0.7443426649488516
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Vwf	0.4912974683544304	0.9648985849200222
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Kdr	0.6511075949367089	1.2037352766533866
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Ptprc	0.014240506329113924	0.020205684864946064
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Tyrobp	0.22231012658227847	0.3598616147707397
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Lyz2	0.25316455696202533	0.41611833719101204
