sender	receiver	ligand	receptor	dataset	config	sample	condition	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	expression_eligible	magnitude_priority	status	reported_eligible
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	GSM7841720	Sham	1.0847206	0.0	1.0401504	0.7829998252967452	1.137999776842351	0.021461427	0.8911708	0.0088789225885421	0.0858713400539777	True	0.9141286599460223	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	GSM7841720	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	GSM7841720	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	GSM7841721	Sham	1.3346386	0.0	1.7405157	0.9587315989612198	1.344108549147042	0.056591142	0.90560323	0.0151488221245855	0.0328244802456238	True	0.9671755197543762	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	GSM7841721	Sham	2.4729514	0.0	5.966201	1.9161873598452972	2.168577033972211	0.052908964	0.9467007	0.0113989777448546	3.0553091098772816e-05	True	0.9999694469089012	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	GSM7841721	Sham	1.1469226	0.0	1.1888006	0.8235785439903057	1.4179767626743789	0.02684945	0.8880003	0.0151488221245855	0.08061324361364	True	0.91938675638636	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	GSM7841721	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	GSM7841721	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	GSM7841722	Sham	1.4232849	0.0	2.0242987	0.8661581132424347	1.2650105905402484	0.058425777	0.91177917	0.0167844508889329	0.0232672801159372	True	0.9767327198840628	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	GSM7841722	Sham	2.4365764	0.0	5.8438954	2.2147318591817493	2.1644244597963667	0.055639748	0.9461217	0.0103005376846306	5.4900797460529225e-05	True	0.9999450992025395	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	GSM7841722	Sham	1.1618232	0.0	1.251072	0.7387776787533755	1.2944768986689907	0.025659617	0.8904107	0.0167844508889329	0.0848292620653895	True	0.9151707379346105	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	GSM7841722	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	GSM7841722	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	GSM7841723	MCAO	0.8117068	0.0	0.64793295	0.4797769870785552	0.2937617626341705	0.025190877	0.8516649	0.0250428687541126	0.358159805416668	True	0.6418401945833321	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	GSM7841723	MCAO	1.3759813	0.0	0.9254485	2.192324237508944	0.7749602281072185	0.012576673	0.87280214	0.0326069872290625	0.0430155213503773	True	0.9569844786496227	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	GSM7841723	MCAO	1.6222682	0.0	2.316616	0.9506336383179758	1.6127708921910733	0.028106824	0.9156575	0.0128998610553817	0.0048855464900781	True	0.9951144535099219	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	GSM7841723	MCAO	0.38821995	1.0	0.14204198	-0.2157406337374948	-1.299433530900738	0.0032212448	0.72886807	1.0	0.4978867739660169	True	0.5021132260339831	reported_expression_eligible	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	GSM7841723	MCAO	0.32147875	1.0	0.100832194	0.071580117112762	-0.4458662324802971	0.0098811565	0.69371706	1.0	0.7719245459320501	True	0.22807545406794993	reported_expression_eligible	True
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	GSM7841724	MCAO	0.9625516	0.0	0.922318	0.683543873016981	0.5503336134917121	0.034783933	0.8733976	0.0188970053015652	0.2330316392233683	True	0.7669683607766317	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	GSM7841724	MCAO	1.7134042	0.0	1.8736119	1.344867264876067	0.7329301401615413	0.015509951	0.9076863	0.0346943700544329	0.006922920670814	True	0.993077079329186	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	GSM7841724	MCAO	1.5089102	0.0	1.9515392	0.9740678836927033	1.4845576598355774	0.024602782	0.9093794	0.0188970053015652	0.0141393999893018	True	0.9858606000106982	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	GSM7841724	MCAO	0.13257575	1.0	0.0153306965	-0.09682911960465	-0.8818968073226422	0.0014057076	0.47073913	1.0	0.3677838392892643	True	0.6322161607107357	reported_expression_eligible	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	GSM7841724	MCAO	0.32503542	0.99	0.09452767	0.1893865910819039	-0.1652234674012202	0.011129277	0.68833363	1.0	0.8532412149693027	True	0.14675878503069728	reported_expression_eligible	True
