analysis	config	metric	statistic	randomized_cohort	fixed_observed_cohort	observed	null_mean	null_median	null_q025	null_q975	n_conditional_allocations	n_at_least_observed	conditional_unadjusted_upper_tail_p	minimum_attainable_upper_tail_p	joint_n_allocations	joint_exact_upper_tail_p	joint_holm_adjusted_p	original_joint_test_family	observed_n_candidates	conditional_n_candidates_min	conditional_n_candidates_max	conditional_p_adjusted_for_multiple_testing
dynamic_gate	primary	custom_score	spearman_rho	GSE174574	GSE245386	0.7427882976103759	-1.6653345369377347e-17	0.0	-0.7131494983671244	0.7131494983671244	20	1	0.05	0.05	200	0.005	0.03	C_exploratory_dynamic_gate	323	312	323	False
dynamic_gate	primary	custom_score	same_direction_all_fraction	GSE245386	GSE174574	0.7987616099071208	0.5062850672206476	0.469551282051282	0.24467736369910284	0.7861624341731954	10	1	0.1	0.1	200	0.005	0.03	C_exploratory_dynamic_gate	323	310	324	False
dynamic_gate	primary	custom_score	same_direction_nonzero_fraction	GSE245386	GSE174574	0.7987616099071208	0.5062850672206476	0.469551282051282	0.24467736369910284	0.7861624341731954	10	1	0.1	0.1	200	0.005	0.03	C_exploratory_dynamic_gate	323	310	324	False
dynamic_gate	primary	custom_score	spearman_rho	GSE245386	GSE174574	0.7427882976103759	0.020013443724428592	-0.0342697855619553	-0.7031255639126065	0.7206493255616704	10	1	0.1	0.1	200	0.005	0.03	C_exploratory_dynamic_gate	323	310	324	False
dynamic_gate	reference_singlet	custom_score	same_direction_all_fraction	GSE174574	GSE245386	0.7576687116564417	0.5	0.5	0.2510688108688169	0.748931189131183	20	1	0.05	0.05	200	0.005	0.03	C_exploratory_dynamic_gate	326	303	326	False
dynamic_gate	reference_singlet	custom_score	same_direction_nonzero_fraction	GSE174574	GSE245386	0.7576687116564417	0.5	0.5	0.2510688108688169	0.748931189131183	20	1	0.05	0.05	200	0.005	0.03	C_exploratory_dynamic_gate	326	303	326	False
dynamic_gate	reference_singlet	custom_score	spearman_rho	GSE174574	GSE245386	0.7030217132058506	0.0	0.0	-0.6689013813176504	0.6689013813176503	20	1	0.05	0.05	200	0.005	0.03	C_exploratory_dynamic_gate	326	303	326	False
dynamic_gate	reference_singlet	custom_score	same_direction_all_fraction	GSE245386	GSE174574	0.7576687116564417	0.5095651947769354	0.4737704918032787	0.26561003666018257	0.7487506285829226	10	1	0.1	0.1	200	0.005	0.03	C_exploratory_dynamic_gate	326	303	328	False
dynamic_gate	reference_singlet	custom_score	same_direction_nonzero_fraction	GSE245386	GSE174574	0.7576687116564417	0.5095651947769354	0.4737704918032787	0.26561003666018257	0.7487506285829226	10	1	0.1	0.1	200	0.005	0.03	C_exploratory_dynamic_gate	326	303	328	False
dynamic_gate	reference_singlet	custom_score	spearman_rho	GSE245386	GSE174574	0.7030217132058506	0.01967476163667775	-0.06482284102734795	-0.6855972246391034	0.6843939072685941	10	1	0.1	0.1	200	0.005	0.03	C_exploratory_dynamic_gate	326	303	328	False
