dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Slc1a2	0.1714752313554698	0.1714752313554698	0.0	0.2041371801850832	0.0316320452291263	0.1340857297286944	0.0319764555440082
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Slc1a3	0.0963527490473595	0.0963527490473595	0.0	0.1077844311377242	2.744070378004306e-13	0.0641247511412845	2.733922342445657e-13
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Aldh1l1	0.0065323897659227	0.0065323897659227	0.0	0.0065323897659227	5.923528550235981e-16	0.0032143003192679	4.0492617116677454e-16
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Pecam1	0.9825802939575298	0.9825802939575298	0.9346761023407638	11.154599891126738	11.14689444318307	2.2828319738777494	2.34345603526996
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Cdh5	0.9047359825802852	0.9047359825802852	0.7544910179640646	5.316276537833378	5.315591678030092	1.5435205459596613	1.593694770719584
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Kdr	0.7387044093630849	0.7387044093630849	0.4986390854654282	2.3064779531845203	2.3054803809288065	0.9162769004891173	0.9497893916809056
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Ptprc	0.1927054980947183	0.1927054980947183	0.0	0.2367991290146965	1.0667684785752228e-16	0.1377275702938855	1.0194517038727968e-16
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Tyrobp	0.475775721284699	0.475775721284699	0.0	0.8502994011975986	0.0001262517047405	0.4466165395517443	0.0001368389987336
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	C1qa	0.8546543277082116	0.8546543277082116	0.0	3.1872618399564256	8.095540690705203e-07	1.1717456916675892	7.967605756471891e-07
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Lyz2	0.1524224278715288	0.1524224278715288	0.0	0.1720195971692968	2.8956660300407623e-08	0.1046298113652507	3.068007378079871e-08
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Spp1	0.5318454001088683	0.5318454001088683	0.0005443658138268	0.9575394665214954	0.0978888872166184	0.4844861939269425	0.0884452320005013
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Timp3	0.8568317909635191	0.8568317909635191	0.7316276537833354	10.706586826347234	10.621649574439354	1.765296210170548	1.8085713483423396
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Ptn	0.385410996189436	0.385410996189436	0.1899836690255839	0.8905824714207894	0.6882997798508951	0.3921746763221603	0.3484031065759147
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Plat	0.919433859553611	0.919433859553611	0.8328796951551362	14.069678824169728	14.025464324247174	2.183641393395067	2.2351301294659773
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Ptprz1	0.0304844855743059	0.0304844855743059	0.0	0.0321175830157866	8.499553054533645e-12	0.0223436119495623	9.5130520401002e-12
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Lrp1	0.0925421883505713	0.0925421883505713	0.0	0.1007076755579747	1.4312237878660878e-15	0.0611210463344779	1.4023513107547517e-15
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Itga5	0.3385955362003238	0.3385955362003238	0.1458900381056061	0.6276537833424021	0.5082801277028094	0.2950921097861728	0.2677170840870282
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Itgb1	0.8731627653783257	0.8731627653783257	0.7212847033206246	4.542732716385374	4.363297260972019	1.39822718119039	1.4155613227424932
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Col4a1	0.943385955361994	0.943385955361994	0.8660860097985762	9.999999999999911	9.949818873567429	2.0439325401755486	2.0957306077892937
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	Itga3	0.3195427327163828	0.3195427327163828	0.1105062602068585	0.5383777898747926	0.5373577205910453	0.2713151169363746	0.282697115960128
GSE245386	GSM7841724	MCAO	primary	Astrocyte	Slc1a2	0.993016759776544	0.993016759776544	0.9455307262569904	84.60055865921782	82.62474462351985	4.435589888822508	4.459690640426334
GSE245386	GSM7841724	MCAO	primary	Astrocyte	Slc1a3	0.97067039106146	0.97067039106146	0.9092178770949788	27.413407821229036	26.5609431470208	3.286846608711536	3.3871999943406297
GSE245386	GSM7841724	MCAO	primary	Astrocyte	Aldh1l1	0.652234636871513	0.652234636871513	0.41201117318436	1.789106145251405	1.7362457460210288	0.8468271288402357	0.8872281984162989
GSE245386	GSM7841724	MCAO	primary	Astrocyte	Pecam1	0.1298882681564245	0.1298882681564245	0.0041899441340782	0.1927374301675979	0.0224342826931218	0.1166528809139381	0.0147988088396145
