source	target	ligand	receptor
Ependymal	Smooth_muscle	Pros1	Axl
Ependymal	Smooth_muscle	Pros1	Mertk
Ependymal	Smooth_muscle	Ptn	Ncl
Ependymal	Smooth_muscle	Ptn	Sdc2
Ependymal	Smooth_muscle	Ptn	Sdc4
Fibroblast	Astrocyte	Col1a1	Itgav_Itgb8
Fibroblast	Astrocyte	Col1a2	Itgav_Itgb8
Fibroblast	Astrocyte	Col4a1	Itgav_Itgb8
Fibroblast	Astrocyte	Col4a2	Itgav_Itgb8
Fibroblast	Astrocyte	Col6a1	Itgav_Itgb8
Fibroblast	Astrocyte	Col6a2	Itgav_Itgb8
Fibroblast	Astrocyte	Edn3	Ednrb
Fibroblast	Astrocyte	Fn1	Itgav_Itgb1
Fibroblast	Astrocyte	Fn1	Itgav_Itgb8
Fibroblast	Astrocyte	Gas6	Axl
Fibroblast	Astrocyte	Gas6	Mertk
Fibroblast	Astrocyte	Hspg2	Dag1
Fibroblast	Astrocyte	Igf2	Igf1r
Fibroblast	Astrocyte	Lamb1	Dag1
Fibroblast	Astrocyte	Lamb1	Itga6_Itgb1
Fibroblast	Astrocyte	Lamb1	Itgav_Itgb8
Fibroblast	Astrocyte	Lamb2	Dag1
Fibroblast	Astrocyte	Lamb2	Itga6_Itgb1
Fibroblast	Astrocyte	Lamb2	Itgav_Itgb8
Fibroblast	Astrocyte	Lamc1	Dag1
Fibroblast	Astrocyte	Lamc1	Itga6_Itgb1
Fibroblast	Astrocyte	Lamc1	Itgav_Itgb8
Fibroblast	Astrocyte	Mdk	Itga6_Itgb1
Fibroblast	Astrocyte	Mdk	Lrp1
Fibroblast	Astrocyte	Mdk	Ncl
Fibroblast	Astrocyte	Mdk	Ptprz1
Fibroblast	Astrocyte	Mdk	Sdc2
Fibroblast	Astrocyte	Mdk	Sdc4
Fibroblast	Astrocyte	Nrxn2	Nlgn3
Fibroblast	Astrocyte	Pros1	Axl
Fibroblast	Astrocyte	Pros1	Mertk
Fibroblast	Astrocyte	Psap	Gpr37
Fibroblast	Astrocyte	Psap	Gpr37l1
Fibroblast	Astrocyte	Ptn	Ncl
Fibroblast	Astrocyte	Ptn	Ptprz1
Fibroblast	Astrocyte	Ptn	Sdc2
Fibroblast	Astrocyte	Ptn	Sdc4
Fibroblast	Astrocyte	Spp1	Itgav_Itgb1
Fibroblast	Astrocyte	Spp1	Itgav_Itgb5
Fibroblast	Astrocyte	Thbs1	Cd47
Fibroblast	Astrocyte	Thbs1	Sdc4
Fibroblast	Astrocyte	Thbs2	Cd47
Fibroblast	Astrocyte	Vtn	Itgav_Itgb1
Fibroblast	Astrocyte	Vtn	Itgav_Itgb5
Fibroblast	Astrocyte	Vtn	Itgav_Itgb8
Fibroblast	Astrocyte	Wnt5a	Fzd2
Fibroblast	Endothelial	Angpt2	Tek
Fibroblast	Endothelial	Efnb1	Ephb4
